County	Yes on recall	Cases per 100k	Population
Alameda	17	16	1656754
Alpine	39	51	1039
Amador	65	41	38429
Butte	53	63	225817
Calaveras	62	44	45514
Colusa	63	43	21454
Contra Costa	27	21	1142251
Del Norte	58	93	27495
El Dorado	55	31	188563
Fresno	50	43	984521
Glenn	70	83	27976
Humboldt	34	32	135940
Imperial	39	22	180701
Inyo	51	20	17977
Kern	58	63	887641
Kings	63	77	150691
Lake	40	59	64195
Lassen	84	123	30
Los Angeles	29	19	10081570
Madera	59	53	155433
Marin	16	13	259943
Mariposa	60	66	17420
Mendocino	30	57	87224
Merced	50	48	271382
Modoc	78	48	8907
Monterey	29	15	433410
Napa	29	27	139623
Nevada	42	35	99244
Orange	47	16	3168044
Placer	51	43	385512
Plumas	63	62	18660
Riverside	48	30	2411439
Sacramento	36	27	1524553
San Benito	41	24	60376
San Bernardino	48	27	2149031
San Diego	41	24	3316073
San Francisco	13	15	874961
San Joaquin	44	33	742603
San Luis Obispo	41	31	282165
San Mateo	21	14	767423
Santa Barbara	35	29	444829
Santa Clara	24	13	1927470
Santa Cruz	20	16	273962    
Shasta	66	96	179212
Sierra	63	57	3040
Siskiyou	61	77	43468
Solano	36	25	441829
Sonoma	22	17	499772
Stanislaus	52	55	543194
Sutter	59	57	96109
Tehama	74	103	63912
Trinity	54	50	12700
Tulare	59	64	461898
Tuolumne	60	55	54045
Ventura	40	28	847263
Yolo	29	29	217352
Yuba	61	36	76360
